ISBN;BookID;Format;PubID;Publication Date;Pages;Print Run Size (k);Price
989-28-229-5891-8;LB510;Mass market paperback;SSC;7/25/86;380;25;9,5
989-28-3705-592-3;BF889;Board book;CHP;10/10/86;12;8;6,99
989-28-79-82197-5;TC188;Trade paperback;ESP;12/5/86;469;20;12,5
989-28-79-22562-9;ZT703;Hardcover;ESP;12/12/86;356;18;20,99
989-28-79-40897-8;PP866;Hardcover;ESP;2/20/87;656;32;21,5
989-28-79-23015-9;CH391;Hardcover;ESP;3/6/87;404;2;18,5
989-28-3705-152-9;BF889;Paperback;CHP;4/3/87;20;10;7,99
989-28-3705-583-1;BC244;Board book;CHP;5/8/87;13;10;6,99
989-28-79-07610-8;KA663;Hardcover;ESP;5/15/87;432;25;27,99
989-28-3705-649-4;BR858;Board book;CHP;7/10/87;11;10;6,99
989-28-79-51397-9;TT773;Hardcover;ESP;8/28/87;292;40;21,5
989-28-3705-775-0;BC244;Paperback;CHP;11/6/87;22;15;7,99
989-28-79-05670-4;ZT703;Mass market paperback;ESP;11/20/87;338;26;8,99
989-28-3705-136-9;BR858;Paperback;CHP;1/8/88;15;17;7,99
989-28-79-56856-6;CC830;Hardcover;ESP;2/19/88;434;25;21,5
989-28-79-26824-4;TT773;Mass market paperback;ESP;4/8/88;280;40;8,99
989-28-229-3157-7;SE355;Mass market paperback;SSC;4/15/88;336;35;9,5
989-28-3705-492-6;CH391;Trade paperback;CHP;4/24/88;404;7;11,99
989-28-3705-138-3;BF374;Board book;CHP;5/27/88;12;18;6,99
989-28-3705-007-2;HP265;Board book;CHP;6/3/88;16;55;5,99
989-28-3705-369-1;BF374;Paperback;CHP;10/14/88;20;18;7,99
989-28-79-23023-4;PP866;Mass market paperback;ESP;10/21/88;792;78;8,99
989-28-79-21991-8;KA663;Mass market paperback;ESP;11/25/88;341;45;8,99
989-28-79-68531-7;ST303;Hardcover;ESP;1/6/89;437;7;21,5
989-28-79-96705-5;CC830;Mass market paperback;ESP;3/17/89;381;50;8,99
989-28-79-16826-1;AM124;Graphic;ESP;3/24/89;85;3;23,99
989-28-654-2017-5;IC739;Hardcover;PP;6/9/89;337;16;29,99
989-28-79-16533-8;ST862;Hardcover;ESP;2/16/90;531;9;21,5
989-28-79-69359-6;CP573;Hardcover;ESP;3/2/90;706;6;21,5
989-28-79-16808-7;ST303;Trade paperback;ESP;5/18/90;458;11;12,5
989-28-654-5018-9;IC739;Trade paperback;PP;7/15/90;385;20;16,99
989-28-79-36485-4;ST862;Trade paperback;ESP;9/14/90;520;15;12,5
989-28-79-27078-0;NL209;Graphic;ESP;10/5/90;192;4;23,99
989-28-79-55824-6;CP573;Mass market paperback;ESP;12/21/90;651;15;8,99
989-28-79-82339-9;TC401;Hardcover;ESP;2/22/91;421;10;21,5
989-28-654-9484-8;SS693;Hardcover;PP;3/1/91;400;8;23,99
989-28-654-3988-7;LS176;Hardcover;PP;3/15/91;368;2;48
989-28-79-86624-2;TP887;Hardcover;ESP;5/14/91;1296;30;35,84
989-28-79-64693-6;AY135;Trade paperback;ESP;8/25/91;645;36;12,5
989-28-229-9769-6;BS284;Mass market paperback;SSC;9/20/91;368;37;9,5
989-28-3705-763-7;MM424;Hardcover;CHP;11/15/91;324;3;22,99
989-28-79-74374-1;RR774;Hardcover;ESP;1/3/92;1218;40;21,5
989-28-79-55752-2;TC401;Mass market paperback;ESP;4/3/92;398;18;8,99
989-28-654-6507-7;SS693;Trade paperback;PP;5/15/92;387;8;15,99
989-28-79-03683-6;TA182;Hardcover;ESP;7/3/92;340;35;18,5
989-28-654-3899-6;WK456;Hardcover;PP;8/14/92;207;2;29,99
989-28-79-11297-4;TP887;Trade paperback;ESP;8/25/92;1296;30;13,46
989-28-3705-205-2;MM424;Trade paperback;CHP;9/18/92;324;8;11,99
